Time	Speed
s*1e-6	m/s
9400590	4.445
9410737	4.48
9420622	4.475
9430633	4.49
9440710	4.525
9450588	4.52
9460623	4.535
9470660	4.565
9480610	4.555
9490633	4.575
9500680	4.605
9510652	4.6
9520630	4.61
9530670	4.64
9540629	4.64
9550635	4.655
9560698	4.68
9578255	4.695
9580598	4.695
9590727	4.715
9600688	4.73
9610857	4.735
9620641	4.745
9630684	4.77
9640699	4.78
9650646	4.785
9660617	4.8
9670668	4.82
9680693	4.835
9690643	4.84
9700645	4.855
9710702	4.875
9720687	4.885
9730596	4.89
9740618	4.9
9750633	4.915
9760674	4.94
9770663	4.95
9780621	4.945
9790648	4.955
9800670	4.985
9810824	4.975
9820609	4.985
9830697	5.02
9840696	5.03
9850648	5.025
9860675	5.055
9870665	5.065
9880644	5.06
9890611	5.07
9900669	5.1
9910640	5.095
9920614	5.11
9930667	5.13
9940706	5.14
9950649	5.15
9960585	5.16
9970689	5.17
9980597	5.185
9990644	5.195
10000715	5.205
10010673	5.215
10020623	5.225
10030624	5.24
10040685	5.245
10050763	5.26
10060650	5.27
10070667	5.28
10080673	5.295
10090601	5.305
10114461	5.315
10114635	5.33
10120594	5.335
10130609	5.345
10140689	5.365
10150688	5.38
10160603	5.385
10170577	5.4
10180665	5.42
10190622	5.43
10200573	5.445
10210712	5.46
10220681	5.48
10230598	5.49
10240593	5.505
10250685	5.52
10260593	5.535
10270607	5.55
10280674	5.565
10290684	5.57
10300592	5.58
10310606	5.59
10320678	5.605
10330644	5.62
10340596	5.625
10350724	5.64
10360729	5.65
10370587	5.66
10380580	5.67
10390678	5.67
10400605	5.685
10410608	5.69
10420656	5.695
10430650	5.705
10440589	5.72
10450691	5.725
10460644	5.725
10470566	5.74
10480588	5.75
10490669	5.75
10500594	5.765
10510621	5.775
10520662	5.775
10530636	5.78
10540607	5.79
10550560	5.795
10560664	5.8
10570571	5.805
10580573	5.81
10590664	5.825
10600663	5.83
10610594	5.835
10620585	5.835
10630645	5.845
10652070	5.85
10652168	5.85
10660665	5.865
10670575	5.86
10680594	5.865
10690665	5.875
10700562	5.875
10710852	5.885
10720676	5.89
10730591	5.89
10740652	5.895
10750587	5.895
10760560	5.9
10770630	5.905
10780571	5.91
10790581	5.915
10800662	5.91
10810608	5.92
10820611	5.92
10830634	5.92
10840658	5.915
10850603	5.915
10860583	5.915
10870633	5.915
10880599	5.92
10890618	5.92
10900640	5.92
10910593	5.92
10920653	5.92
10930681	5.915
10940588	5.92
10950594	5.925
10960670	5.915
10970551	5.93
10980543	5.93
10990666	5.915
11000541	5.93
11010566	5.93
11020620	5.91
11030591	5.935
11040575	5.935
11050676	5.915
11060584	5.94
11070556	5.94
11080638	5.91
11090615	5.935
11100584	5.94
11110676	5.92
11120585	5.94
11130570	5.945
11140653	5.92
11150631	5.955
11160724	5.92
11170633	5.925
11180555	5.965
11190681	5.93
11200551	5.97
11210543	5.975
11220700	5.93
11230545	5.99
11240603	5.99
11250641	5.94
11260637	5.94
11270576	5.995
11280661	5.95
11290647	5.95
11300568	5.995
11310641	5.96
11320637	5.96
11330565	5.995
11340678	5.965
11350673	5.965
11360582	5.995
11370653	5.97
11380672	5.97
11390578	5.995
11400645	5.975
11410641	5.98
11430661	5.975
11440631	5.975
11450566	6.005
11460626	5.985
11470603	5.985
11480540	6.005
11490642	5.985
11500599	5.985
11510589	6.01
11520644	5.99
11530619	5.99
11540564	6.015
11550661	5.995
11560613	5.99
11570529	6.02
11580613	5.99
11590565	6.025
11600564	6.03
11610648	5.99
11620585	6.035
11630580	6.04
11650570	6.045
11660551	6.05
11670620	6.005
11680534	6.045
11690543	6.045
11705910	6.01
11710882	6.055
11720568	6.055
11730606	6.025
11740588	6.06
11750538	6.06
11760650	6.025
11770523	6.06
11780530	6.065
11790675	6.035
11800535	6.07
11810757	6.07
11820600	6.04
11830557	6.075
11840546	6.08
11850631	6.05
11860664	6.055
11870529	6.09
11880598	6.055
11890620	6.055
11900531	6.09
11910538	6.095
11920623	6.06
11930534	6.09
11940561	6.09
11951086	6.06
11960603	6.06
11970534	6.085
11980535	6.085
11990642	6.065
12000574	6.09
12010547	6.09
12020798	6.07
12030592	6.07
12040566	6.09
12050616	6.075
12060629	6.075
12070544	6.09
12080612	6.08
12090632	6.08
12100530	6.095
12111101	6.09
12120595	6.09
12130524	6.1
12140615	6.09
12150595	6.09
12160584	6.1
12170587	6.085
12180594	6.085
12190561	6.1
12200619	6.085
12210515	6.1
12220517	6.1
12230599	6.085
12240538	6.1
12250612	6.09
12260528	6.105
12270585	6.09
12280586	6.09
12290529	6.11
12300584	6.095
12310546	6.11
12320625	6.095
12330611	6.09
12340521	6.115
12350598	6.09
12360552	6.115
12370515	6.115
12380613	6.09
12390560	6.115
12400610	6.09
12410623	6.09
12420574	6.11
12430616	6.09
12440568	6.11
12450523	6.11
12460630	6.095
12470517	6.11
12480675	6.1
12490575	6.12
12500501	6.12
12510600	6.105
12520536	6.125
12530527	6.125
12540601	6.11
12550568	6.125
12560586	6.11
12570511	6.125
12580522	6.13
12590579	6.12
12600548	6.135
12610734	6.12
12620630	6.12
12630523	6.14
12640616	6.12
12650493	6.14
12660528	6.145
12670596	6.13
12680514	6.15
12690614	6.135
12700594	6.13
12710509	6.14
12720603	6.13
12730497	6.14
12740594	6.135
12750550	6.145
12771967	6.15
12772102	6.14
12780510	6.15
12790631	6.145
12800501	6.15
12810493	6.155
12820608	6.145
12830536	6.155
12840519	6.16
12850631	6.15
12860537	6.16
12870563	6.16
12880575	6.16
12890562	6.165
12900573	6.165
12911091	6.165
12920524	6.165
12930598	6.165
12940549	6.175
12950566	6.175
12960610	6.175
12970506	6.18
12980484	6.18
12990639	6.185
13000504	6.185
13010558	6.185
13020586	6.19
13030496	6.185
13040584	6.19
13050561	6.19
13060555	6.19
13070558	6.195
13080507	6.19
13090550	6.195
13100550	6.2
13110490	6.195
13120511	6.2
13130815	6.205
13140511	6.205
13151131	6.205
13160576	6.21
13170481	6.21
13180598	6.21
13190692	6.215
13200486	6.215
13210646	6.22
13220522	6.225
13230517	6.225
13240593	6.225
13250506	6.235
13260577	6.235
13270589	6.23
13280514	6.235
13290526	6.235
13300561	6.23
13310961	6.235
13320532	6.235
13330549	6.235
13340518	6.235
13350519	6.23
13360585	6.24
13370466	6.23
13380488	6.23
13390568	6.24
13400559	6.245
13410528	6.24
13420551	6.25
13430574	6.25
13440521	6.245
13450713	6.26
13460586	6.255
13470478	6.25
13480488	6.255
13490589	6.265
13500473	6.255
13510542	6.26
13520542	6.265
13530477	6.26
13540555	6.265
13550547	6.27
13560481	6.26
13570530	6.265
13582607	6.265
13590504	6.26
13600543	6.265
13610463	6.265
13620493	6.26
13630570	6.27
13640482	6.265
13650571	6.27
13660516	6.265
13670541	6.265
13680522	6.27
13690546	6.275
13700540	6.27
13710483	6.28
13720580	6.27
13730543	6.275
13740484	6.285
13750565	6.28
13760547	6.28
13770467	6.285
13780498	6.285
13790602	6.28
13800448	6.29
13810511	6.29
13820550	6.29
13830537	6.295
13840484	6.295
13850520	6.3
13860527	6.31
13870454	6.305
13880590	6.315
13890552	6.315
13900458	6.305
13910486	6.31
13920557	6.32
13930462	6.31
13940475	6.31
13950583	6.33
13960545	6.335
13970464	6.315
13980547	6.33
13990587	6.325
14000464	6.315
14010533	6.32
14020550	6.335
14030452	6.325
14040580	6.335
14050530	6.335
14060479	6.33
14070536	6.335
14080450	6.345
14090501	6.345
14100519	6.345
14110517	6.355
14120541	6.34
14130515	6.345
14140465	6.36
14150567	6.345
14160525	6.345
14170441	6.365
14180477	6.365
14190566	6.35
14200485	6.355
14210476	6.355
14220554	6.355
14230525	6.355
14240512	6.345
14250556	6.355
14260550	6.355
14270474	6.34
